location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,1.0,47646.34146341463,2,4511964.153732446
Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,146341.46341463414,4,5628517.823639775
Uttarahalli,3 BHK,1440.0,2.0,3.0,75609.75609756098,3,5250677.506775068
Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,115853.65853658537,3,7616940.074726191
Kothanur,2 BHK,1200.0,2.0,1.0,62195.12195121951,2,5182926.8292682925
Whitefield,2 BHK,1170.0,2.0,1.0,46341.46341463415,2,3960808.8388576196
Marathahalli,3 BHK,1310.0,3.0,1.0,77134.14634146342,3,5888102.774157513
Whitefield,3 BHK,1800.0,2.0,2.0,85365.85365853658,3,4742547.425474254
Whitefield,4 Bedroom,2785.0,5.0,3.0,359756.0975609756,4,12917633.664666986
7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,46341.46341463415,2,4634146.341463415
Gottigere,2 BHK,1100.0,2.0,2.0,48780.48780487805,2,4434589.800443459
Sarjapur,3 Bedroom,2250.0,3.0,2.0,180487.80487804877,3,8021680.216802168
Mysore Road,2 BHK,1175.0,2.0,2.0,89634.14634146342,2,7628437.986507525
Bisuvanahalli,3 BHK,1180.0,3.0,2.0,58536.58536585366,3,4960727.573377429
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,73170.73170731707,3,4751346.214760848
Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,353658.53658536583,3,12767456.194417538
Manayata Tech Park,2 BHK,1100.0,2.0,2.0,58536.58536585366,2,5321507.760532151
Kengeri,1 BHK,600.0,1.0,1.0,18292.682926829268,1,3048780.4878048776
Binny Pete,3 BHK,1755.0,3.0,1.0,148780.48780487804,3,8477520.672642624
Thanisandra,4 Bedroom,2800.0,5.0,2.0,463414.6341463415,4,16550522.648083623
Bellandur,3 BHK,1767.0,3.0,1.0,125609.75609756098,3,7108644.940439218
 Thanisandra,1 RK,510.0,1.0,0.0,30792.682926829268,1,6037780.966044954
Mangammanapalya,3 BHK,1250.0,3.0,2.0,68292.68292682926,3,5463414.634146341
Electronic City,2 BHK,660.0,1.0,1.0,28170.731707317074,2,4268292.68292683
Whitefield,3 BHK,1610.0,3.0,2.0,98780.48780487805,3,6135434.025147704
Ramagondanahalli,2 BHK,1151.0,2.0,2.0,59475.60975609756,2,5167298.849356869
Electronic City,3 BHK,1025.0,2.0,1.0,57317.07317073171,3,5591909.577632362
Yelahanka,4 BHK,2475.0,4.0,0.0,226829.26829268291,4,9164818.920916481
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,42682.92682926829,3,3970504.8213272826
Hebbal,3 BHK,1760.0,2.0,2.0,150000.0,3,8522727.272727273
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,69987.80487804877,3,4133951.8533992185
Kanakpura Road,2 BHK,700.0,2.0,1.0,43902.439024390245,2,6271777.003484322
Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,55487.80487804878,2,5185776.156826989
Kundalahalli,3 BHK,1724.0,3.0,2.0,152439.0243902439,3,8842170.78829721
Chikkalasandra,3 BHK,1290.0,2.0,2.0,68439.0243902439,3,5305350.727925884
Uttarahalli,2 BHK,1143.0,2.0,2.0,54878.04878048781,2,4801229.114653351
Sarjapur  Road,3 BHK,1254.0,3.0,2.0,46341.46341463415,3,3695491.5003695497
Ganga Nagar,1 BHK,600.0,1.0,0.0,46341.46341463415,1,7723577.235772358
Yelahanka,1 Bedroom,660.0,1.0,0.0,58536.58536585366,1,8869179.600886919
Kanakpura Road,2 BHK,1330.74,2.0,2.0,111939.0243902439,2,8411787.756454596
Doddathoguru,2 BHK,970.0,2.0,0.0,40243.90243902439,2,4148855.921548906
Whitefield,2 BHK,1459.0,2.0,1.0,115634.14634146342,2,7925575.486049583
KR Puram,2 Bedroom,800.0,1.0,1.0,158536.58536585365,2,19817073.17073171
Himagiri Meadows,2 BHK,869.0,2.0,1.0,43902.439024390245,2,5052064.329619131
Adarsh Nagar,2 BHK,1270.0,2.0,1.0,60975.60975609756,2,4801229.114653352
Bhoganhalli,3 BHK,1670.0,3.0,1.0,120731.70731707317,3,7229443.551920549
Whitefield,3 BHK,2010.0,3.0,2.0,110975.60975609756,3,5521174.614731222
Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,91463.41463414633,2,7718431.614695893
Yelahanka,3 BHK,1600.0,2.0,3.0,91463.41463414633,3,5716463.414634146
Begur Road,2 BHK,1200.0,2.0,2.0,53658.53658536585,2,4471544.715447154
Ramakrishnappa Layout,2 BHK,1500.0,2.0,2.0,225609.75609756098,2,15040650.406504067
Murugeshpalya,6 Bedroom,1407.0,4.0,1.0,182926.82926829267,6,13001196.110042121
Govindaraja Nagar Ward,2 BHK,840.0,2.0,2.0,54878.04878048781,2,6533101.045296167
Tharabanahalli,3 Bedroom,4395.0,3.0,2.0,292682.9268292683,3,6659452.26005161
Ganga Nagar,2 BHK,845.0,2.0,1.0,67073.17073170732,2,7937653.3410304515
Whitefield,4 Bedroom,5700.0,5.0,3.0,792682.9268292683,4,13906718.014548568
Varthur,2 BHK,1160.0,2.0,2.0,53658.53658536585,2,4625735.912531539
Bommanahalli,8 Bedroom,3000.0,8.0,0.0,170731.70731707316,8,5691056.910569105
Doddathoguru,2 BHK,1100.0,2.0,1.0,75609.75609756098,2,6873614.190687361
Gunjur,2 BHK,1140.0,2.0,3.0,52439.0243902439,2,4599914.420196833
Marathahalli,2 BHK,1220.0,2.0,1.0,69512.19512195123,2,5697720.911635347
Devarachikkanahalli,8 Bedroom,1350.0,7.0,0.0,103658.53658536586,8,7678410.117434509
Kanakpura Road,2 BHK,1005.0,2.0,1.0,44731.70731707317,2,4450916.150952553
Double Road,3 Bedroom,500.0,3.0,2.0,121951.21951219512,3,24390243.902439024
Begur Road,2 BHK,1358.0,2.0,1.0,98268.29268292683,2,7236251.302130105
Hegde Nagar,3 BHK,1569.0,3.0,1.0,123170.73170731707,3,7850269.707285983
Haralur Road,2 BHK,1240.0,2.0,1.0,85365.85365853658,2,6884343.036978756
Hennur Road,3 BHK,2089.0,3.0,2.0,170731.70731707316,3,8172891.685834043
Kothannur,2 BHK,1206.0,2.0,1.0,58817.07317073171,2,4877037.576345913
Kalena Agrahara,2 BHK,1150.0,2.0,3.0,48780.48780487805,2,4241781.548250265
Cholanayakanahalli,3 BHK,2511.0,3.0,3.0,250000.0,3,9956192.751891676
Kaval Byrasandra,2 BHK,460.0,1.0,0.0,26829.268292682926,2,5832449.628844114
ISRO Layout,6 Bedroom,4400.0,6.0,3.0,304878.0487804878,6,6929046.563192904
Kodanda Reddy Layout,3 BHK,1660.0,2.0,2.0,128048.78048780488,3,7713781.957096679
Yelahanka,2 BHK,1326.0,2.0,2.0,95121.9512195122,2,7173601.147776184
Garudachar Palya,3 BHK,1325.0,2.0,2.0,74146.34146341463,3,5595950.299125632
EPIP Zone,3 BHK,1499.0,5.0,2.0,124390.24390243902,3,8298215.070209408
Hegde Nagar,6 Bedroom,3000.0,7.0,2.0,256097.56097560975,6,8536585.365853658
Kanakpura Road,3 BHK,1665.0,3.0,2.0,107317.0731707317,3,6445469.860104006
Dasanapura,2 BHK,708.0,2.0,2.0,45121.95121951219,2,6373156.951908502
Kasavanhalli,2 BHK,1060.0,2.0,2.0,70804.87804878049,2,6679705.476300046
Rajaji Nagar,6 Bedroom,710.0,6.0,3.0,195121.9512195122,6,27481964.96049468
Sanjay nagar,2 BHK,1000.0,2.0,2.0,85365.85365853658,2,8536585.365853658
Electronic City,2 BHK,1000.0,2.0,1.0,35219.51219512195,2,3521951.219512195
 Mysore Highway,3 BHK,1450.0,2.0,2.0,85365.85365853658,3,5887300.252312867
ISRO Layout,4 Bedroom,1200.0,4.0,2.0,189024.39024390245,4,15752032.520325202
Thanisandra,2 BHK,1296.0,2.0,3.0,97560.9756097561,2,7527853.056308341
Domlur,3 BHK,1540.0,3.0,2.0,109756.09756097561,3,7127019.322141273
Kengeri,4 Bedroom,2894.0,4.0,1.0,298780.48780487804,4,10324135.722352386
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,1.0,58536.58536585366,3,4401247.019988997
Devasthanagalu,2 BHK,1200.0,2.0,1.0,79268.29268292683,2,6605691.056910569
T Dasarahalli,3 Bedroom,1200.0,3.0,1.0,109756.09756097561,3,9146341.463414634
Yeshwanthpur,3 BHK,2502.0,3.0,3.0,168292.68292682926,3,6726326.256068315
Chandapura,2 BHK,650.0,1.0,1.0,20731.70731707317,2,3189493.4333958724
Kothanur,3 Bedroom,2400.0,2.0,1.0,182926.82926829267,3,7621951.219512194
Green View Layout,2 BHK,1007.0,2.0,2.0,52439.0243902439,2,5207450.2870152835
Shantiniketan Layout,2 BHK,1200.0,2.0,2.0,60975.60975609756,2,5081300.8130081305
Peenya,2 BHK,966.0,2.0,2.0,60853.65853658537,2,6299550.573145484
Nagarbhavi,3 BHK,1630.0,2.0,1.0,119512.19512195123,3,7332036.510549154
Rajaji Nagar,3 BHK,1640.0,3.0,2.0,279268.2926829268,3,17028554.431885783
Jalahalli West,2 BHK,782.0,2.0,2.0,67902.43902439025,2,8683176.345829954
Devanahalli,2 BHK,1260.0,2.0,2.0,81439.0243902439,2,6463414.634146341
Lakshmiamma Garden,3 BHK,1800.0,3.0,3.0,146341.46341463414,3,8130081.300813007
Byatarayanapura,3 BHK,1413.0,2.0,2.0,91463.41463414633,3,6472994.666252394
Whitefield,2 BHK,1116.0,2.0,1.0,63304.87804878049,2,5672480.111897893
Electronic City,3 BHK,1530.0,2.0,1.0,55975.60975609756,3,3658536.5853658537
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,1.0,274390.243902439,4,7415952.537903757
Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,170731.70731707316,3,6837473.260595641
Kengeri,3 BHK,1540.0,2.0,3.0,78048.78048780488,3,5068102.629078239
Thanisandra,3 BHK,1436.0,3.0,1.0,91158.53658536586,3,6348087.505944698
Malleshwaram,2 BHK,1100.0,2.0,2.0,91463.41463414633,2,8314855.875831485
Hennur Road,2 Bedroom,276.0,3.0,3.0,28048.780487804877,2,10162601.62601626
Thanisandra,3 BHK,1427.0,3.0,2.0,146341.46341463414,3,10255183.140478916
Akshaya Nagar,3 BHK,2061.0,3.0,1.0,243902.43902439025,3,11834179.477165952
Hebbal,4 BHK,5611.5,4.0,0.0,581707.3170731707,4,10366342.636962857
Shampura,4 BHK,2650.0,4.0,2.0,182926.82926829267,4,6902899.217671421
Devanahalli,3 BHK,1282.0,2.0,2.0,83560.9756097561,3,6518016.818233706
Kadugodi,2 BHK,1050.0,2.0,1.0,41463.41463414634,2,3948896.631823461
LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,79268.29268292683,3,4954268.292682927
Vajarahalli,2 BHK,945.0,2.0,1.0,65853.65853658537,2,6968641.114982579
Hormavu,2 BHK,1500.0,2.0,1.0,95121.9512195122,2,6341463.414634147
Vishwapriya Layout,7 Bedroom,950.0,7.0,0.0,140243.9024390244,7,14762516.046213094
Peenya,3 BHK,1870.0,3.0,3.0,134146.34146341463,3,7173601.147776184
Sarjapur,3 Bedroom,1600.0,3.0,1.0,91463.41463414633,3,5716463.414634146
Electronic City,2 BHK,880.0,1.0,1.0,20121.951219512193,2,2286585.3658536584
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,0.0,256097.56097560975,4,21341463.414634146
Kudlu Gate,3 BHK,1535.0,3.0,2.0,101219.51219512195,3,6594105.028998173
Kanakpura Road,2 BHK,950.0,2.0,1.0,69512.19512195123,2,7317073.170731708
Devanahalli,2 BHK,1360.0,2.0,1.0,79268.29268292683,2,5828550.932568149
8th Phase JP Nagar,2 BHK,1073.5,2.0,0.0,65859.75609756098,2,6135049.473457008
Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,61463.41463414634,3,4801829.268292682
Chandra Layout,3 BHK,1260.0,2.0,2.0,103719.51219512195,3,8231707.317073171
Yelahanka,5 BHK,3050.0,5.0,1.0,259756.0975609756,5,8516593.362654937
Kasavanhalli,3 BHK,1563.05,3.0,1.0,128048.78048780488,3,8192238.283343775
ISRO Layout,2 BHK,1000.0,2.0,1.0,73170.73170731707,2,7317073.170731707
Anandapura,2 BHK,1167.0,2.0,1.0,53365.85365853659,2,4572909.482308191
Vishveshwarya Layout,7 BHK,4000.0,7.0,2.0,274390.243902439,7,6859756.097560975
Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,42682.92682926829,2,4795834.475198684
Basavanapura,3 BHK,1612.0,3.0,3.0,57000.0,3,3535980.148883375
Mysore Road,3 BHK,1710.0,4.0,2.0,111353.65853658537,3,6511909.855940665
Kannamangala,2 BHK,957.0,2.0,1.0,70731.70731707317,2,7390983.0007390985
 Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,53658.53658536585,3,4292682.926829268
Hulimavu,2 BHK,1125.0,2.0,2.0,60975.60975609756,2,5420054.200542006
Electronic City Phase II,2 BHK,1020.0,2.0,1.0,37317.07317073171,2,3658536.585365854
Kalena Agrahara,2 BHK,1200.0,2.0,2.0,60975.60975609756,2,5081300.8130081305
Thanisandra,3 BHK,1735.0,3.0,3.0,164634.1463414634,3,9488999.789133338
Thanisandra,3 BHK,2050.0,3.0,1.0,176829.26829268291,3,8625817.965496728
Mahalakshmi Layout,4 Bedroom,3750.0,4.0,0.0,926829.268292683,4,24715447.154471546
Yarandahalli,3 BHK,1350.0,2.0,3.0,58536.58536585366,3,4336043.360433605
Hosa Road,2 BHK,1063.0,2.0,1.0,39024.39024390244,2,3671156.184750935
Keshava Nagar,3 BHK,1904.0,3.0,1.0,182926.82926829267,3,9607501.537200244
Whitefield,4 Bedroom,4200.0,4.0,2.0,512195.1219512195,4,12195121.951219512
RMV Extension,3 BHK,2000.0,3.0,1.0,213414.63414634147,3,10670731.707317073
Sarjapur,2 BHK,1242.5,2.0,0.0,53036.58536585366,2,4268538.057613977
Tejaswini Nagar,3 BHK,1425.0,2.0,2.0,91463.41463414633,3,6418485.237483953
Electronic City,3 BHK,1500.0,2.0,1.0,78658.53658536586,3,5243902.439024391
Electronic City,2 BHK,1060.0,2.0,1.0,73170.73170731707,2,6902899.217671421
Jai Bheema Nagar,3 BHK,1470.0,2.0,2.0,85365.85365853658,3,5807200.929152148
Kothnur Narayanapura,6 BHK,1300.0,6.0,0.0,120731.70731707317,6,9287054.409005629
Attibele,1 BHK,450.0,1.0,1.0,13414.634146341463,1,2981029.810298103
Electronic City,2 BHK,1152.0,2.0,1.0,78658.53658536586,2,6827997.967479675
Electronic City,3 BHK,1350.0,2.0,1.0,68292.68292682926,3,5058717.253839205
CV Raman Nagar,3 BHK,1550.0,3.0,3.0,79268.29268292683,3,5114083.398898505
CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,2.0,121951.21951219512,3,8130081.300813009
Kumaraswami Layout,5 Bedroom,600.0,3.0,2.0,103658.53658536586,5,17276422.764227644
Nagavara,1 Bedroom,400.0,1.0,0.0,17073.170731707316,1,4268292.682926829
Malleshwaram,1 BHK,705.0,1.0,2.0,81707.31707317074,1,11589690.364988757
Electronic City,2 BHK,770.0,1.0,1.0,43902.439024390245,2,5701615.457713019
Hulimavu,2 BHK,1242.0,2.0,3.0,62195.12195121951,2,5007658.7722398965
Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,189024.39024390245,3,11119081.779053085
Thanisandra,3 BHK,2144.0,3.0,2.0,176829.26829268291,3,8247633.782307972
Vijayanagar,3 BHK,1704.0,3.0,2.0,134146.34146341463,3,7872437.87930837
Electronic City,2 BHK,1070.0,2.0,1.0,63414.634146341465,2,5926601.322087987
